OrderID,OrderDate,CustomerID,CustomerName,CustomerEmail,Country,ProductID,ProductCategory,ProductName,Quantity,UnitPrice,TotalPrice,SalesRegion
31,2024-02-10,1116,Sara Ellis,elizabeth21@harris.org,Switzerland,586,Beauty,Shoes,5,178.77,893.85,North
32,2024-06-03,1210,Richard Williams,vwalker@hotmail.com,Liechtenstein,569,Beauty,Shoes,4,551.57,2206.28,South
33,2024-01-29,1053,Eric Miller,ajames@crawford.org,Tajikistan,545,Clothing,Bicycle,10,817.22,8172.2,West
34,2024-12-27,1257,Kurt Roberts,hansenanthony@vargas.net,Trinidad and Tobago,517,Clothing,Bicycle,1,611.06,611.06,Central
35,2023-08-12,1976,Samantha Davidson,csheppard@valenzuela.com,Costa Rica,543,Sports,Sofa,8,256.99,2055.92,West
36,2024-09-13,1888,Mariah Walls,annetteduncan@hoover.com,Rwanda,557,Sports,Bicycle,3,464.4,1393.19999999999,East
37,2024-01-19,1261,Jonathan Whitehead,hawkinstammy@smith.biz,Kazakhstan,594,Electronics,Laptop,1,163.84,163.84,West
38,2024-04-10,1696,George Wright,ibarnes@davis.com,Guatemala,579,Sports,Phone,5,583.72,2918.6,Central
39,2024-10-13,1359,Jeanette Ramirez,ann14@hotmail.com,Greenland,503,Sports,T-Shirt,6,353.84,2123.04,East
40,2025-04-10,1230,Emma Pearson,dmullins@yahoo.com,Saint Barthelemy,588,Electronics,Bicycle,9,20.61,185.49,Central
41,2025-03-24,1930,Jason Ramirez,johnsmith@collier-everett.com,Northern Mariana Islands,583,Sports,Table,10,802.92,8029.2,South
42,2024-06-30,1482,Carly Wheeler,asingh@gmail.com,Antigua and Barbuda,545,Furniture,Bicycle,1,204.87,204.87,Central
43,2025-01-23,1524,Michelle Bradley,tylerwalters@gmail.com,Tunisia,567,Furniture,Table,1,535.44,535.44,North
44,2024-11-03,1578,John Valenzuela,kjensen@carter.com,Jersey,518,Clothing,Shoes,9,898.31,8084.78999999999,Central
45,2024-04-30,1367,Amanda Walsh,boylejoseph@hotmail.com,Ecuador,513,Electronics,Perfume,2,79.49,158.98,North
46,2023-11-09,1217,Jay Peterson,pearsonkathryn@singleton-scott.com,Christmas Island,581,Sports,Tennis Racket,2,931.86,1863.72,North
47,2025-05-28,1239,Christopher White,achen@gmail.com,Argentina,518,Electronics,Perfume,2,471.54,943.08,North
48,2023-08-06,1397,Elizabeth Kelly,javieryoung@santana-williams.com,Jordan,515,Furniture,Laptop,3,860.72,2582.16,West
49,2025-02-27,1242,Joseph Gomez,herringrobert@brown.com,Nepal,504,Electronics,Bicycle,3,576.79,1730.37,North
50,2023-12-01,1236,William Taylor,uross@yahoo.com,Saudi Arabia,550,Beauty,Shoes,10,186.22,1862.2,Central
51,2023-12-13,1366,Kelsey Velasquez,jessicawatson@hotmail.com,Cocos (Keeling) Islands,515,Electronics,Perfume,3,595.53,1786.59,East
52,2023-10-08,1722,Brenda Chavez,djohnson@gmail.com,Indonesia,555,Furniture,Table,4,676.51,2706.04,Central
53,2024-01-09,1323,James Christensen,kpatterson@warren-carter.com,Poland,509,Sports,Shoes,2,141.72,283.44,West
54,2023-07-21,1244,Gordon Young,mitchelltoni@mccoy.com,Samoa,523,Beauty,Phone,5,891.49,4457.45,East
55,2024-10-13,1609,Jodi Caldwell,brian44@gmail.com,Georgia,525,Clothing,Shoes,3,778.66,2335.98,East
56,2023-10-31,1913,Steven Fox,donna17@booth.com,Peru,562,Furniture,Phone,9,913.46,8221.14,North
57,2025-05-29,1133,Bernard Peters,osutton@burke.com,United Kingdom,519,Clothing,Table,7,683.08,4781.56,South
58,2024-11-05,1934,Jane Armstrong,bnewton@yahoo.com,India,568,Beauty,Shoes,4,157.88,631.52,East
59,2024-10-05,1876,Christina Martinez,brianariley@hogan.info,Botswana,582,Sports,Table,4,448.1,1792.4,East
60,2024-09-20,1683,Jared Huynh,nicolestokes@yahoo.com,Saint Vincent and the Grenadines,553,Furniture,Shoes,4,577.81,2311.24,North
61,2025-05-01,1457,Natasha Smith,mitchell00@buchanan.com,Malaysia,519,Furniture,Bicycle,3,407.32,1221.96,East
62,2024-02-16,1465,Dana Adams,jennifernelson@quinn-cherry.org,American Samoa,526,Furniture,Sofa,7,702.62,4918.34,East
63,2023-09-07,1413,Laura Johnson,flynch@gmail.com,Nigeria,578,Furniture,Perfume,1,632.06,632.06,South
64,2023-08-08,1425,Shaun Young,christopher01@yahoo.com,Guatemala,514,Sports,Bicycle,6,644.62,3867.72,Central
65,2024-10-12,1825,Jeffrey Henry,meganross@hotmail.com,Bahrain,573,Furniture,Phone,1,662.17,662.17,North
66,2024-09-05,1612,Kim Costa,gilberthart@smith.org,Mayotte,574,Beauty,Sofa,9,240.89,2168.00999999999,South
67,2023-12-19,1366,Steve Peck,cody61@smith.com,Barbados,513,Sports,Sofa,6,796.54,4779.24,North
68,2024-09-13,1460,Jennifer Lee,rosalesjustin@benson.com,Taiwan,591,Furniture,Sofa,7,891.89,6243.23,Central
69,2023-09-11,1295,Tiffany Benson,glennhall@hardin.net,Eritrea,549,Electronics,Table,7,661.41,4629.87,North
70,2024-09-13,1714,Melissa Lee,wallteresa@hotmail.com,Chile,557,Beauty,Table,3,536.11,1608.33,Central
71,2023-11-30,1033,Jake Small,davistracy@gibson-paul.com,Congo,597,Furniture,T-Shirt,10,35.59,355.9,East
72,2024-12-30,1302,Kimberly Valencia,tyoung@holland-costa.com,Namibia,510,Clothing,Laptop,7,249.06,1743.42,South
73,2023-08-15,1519,John Byrd DDS,vsmith@benjamin.info,Greece,550,Sports,Sofa,8,849.51,6796.08,East
74,2024-05-08,1090,Jacob Davidson,mcdonaldjames@gmail.com,Burundi,536,Clothing,Phone,2,922.56,1845.12,East
75,2025-06-02,1055,Michelle Hogan,perezgeorge@bush.org,Marshall Islands,538,Furniture,Tennis Racket,9,851.72,7665.48,North
76,2024-03-10,1349,Alex Stone,jordantaylor@johnson.com,Equatorial Guinea,501,Electronics,Bicycle,8,686.55,5492.4,North
77,2024-09-14,1468,Mark Walsh,kevinanderson@oneill-browning.com,Saint Martin,582,Beauty,Bicycle,9,319.96,2879.64,West
78,2024-12-23,1828,Kimberly Robinson,davidlee@gmail.com,Saint Barthelemy,543,Sports,Laptop,4,39.72,158.88,West
79,2025-05-14,1964,David Brock,jwalker@travis.com,Saint Lucia,515,Furniture,Perfume,7,975.03,6825.21,East
80,2024-02-14,1544,Jacob Hale,tina42@bush-burnett.info,Congo,599,Clothing,Bicycle,7,134.53,941.71,South
81,2024-12-11,1521,Dawn Buckley,dcraig@gmail.com,Italy,516,Beauty,T-Shirt,5,97.05,485.25,East
82,2024-09-26,1753,Matthew Fernandez,tscott@matthews.com,Turkey,580,Furniture,Laptop,8,357.79,2862.32,West
83,2023-09-07,1245,Brittany Williams,gmoore@gmail.com,Puerto Rico,501,Beauty,Bicycle,9,914.65,8231.85,Central
84,2025-03-30,1124,Amber Washington,estewart@yahoo.com,Latvia,534,Sports,Bicycle,9,308.0,2772.0,East
85,2023-10-17,1820,Rebecca Cooper,tmendez@lopez.org,Luxembourg,557,Furniture,Tennis Racket,3,617.41,1852.23,South
86,2024-07-30,1974,Edward Holland,destiny16@davis.info,Syrian Arab Republic,529,Furniture,Tennis Racket,10,655.11,6551.1,North
87,2024-01-06,1175,Linda Russell,teresa33@gmail.com,Bahamas,554,Beauty,Tennis Racket,4,912.38,3649.52,South
88,2024-09-11,1169,Ashley Douglas,morganshaffer@yahoo.com,Maldives,541,Beauty,Perfume,7,91.46,640.219999999999,Central
89,2025-01-15,1273,Brian Patton,peterschristopher@gmail.com,French Guiana,578,Clothing,Sofa,10,693.05,6930.5,North
90,2025-01-15,1162,James Moore,andrew80@yahoo.com,Belarus,586,Clothing,Laptop,3,785.04,2355.12,South
91,2024-07-10,1462,Jamie Stewart,james49@flores.com,Cayman Islands,505,Sports,Laptop,5,826.28,4131.4,East
92,2024-05-11,1586,Jeremy Mack,emma83@gmail.com,Luxembourg,524,Beauty,Bicycle,2,377.6,755.2,West
93,2025-03-19,1303,Brittany Wong,vargasbobby@yahoo.com,Gambia,516,Beauty,Table,9,665.03,5985.26999999999,North
94,2024-07-24,1172,Nancy Schneider,rgreen@yahoo.com,Togo,571,Beauty,Phone,10,312.83,3128.29999999999,East
95,2025-03-28,1563,Kevin Jones,colleenhunt@wilson.org,Venezuela,515,Beauty,Shoes,7,434.91,3044.37,South
96,2025-03-21,1469,Rachel Jackson,cgardner@yahoo.com,Ghana,541,Beauty,Tennis Racket,10,340.44,3404.4,South
97,2024-04-17,1991,Victoria Banks,jacqueline94@campbell-fowler.com,Papua New Guinea,583,Electronics,Sofa,8,252.92,2023.36,West
98,2023-11-07,1297,Mr. Benjamin Martinez,alec49@daniels.com,Brunei Darussalam,552,Beauty,Shoes,6,272.95,1637.69999999999,East
99,2024-05-28,1983,Antonio Potts,phenderson@petersen.org,Ghana,523,Beauty,Perfume,5,636.94,3184.7,South
100,2023-07-06,1919,Jennifer Compton,tuckerjacob@gray.net,Turkey,597,Sports,Perfume,8,53.9,431.2,Central
101,2025-05-11,1104,Jordan Gonzalez,thomassmith@brooks.com,Barbados,550,Sports,Laptop,5,385.11,1925.55,North
102,2025-05-11,1044,Donald Stokes,lisamclaughlin@landry.com,Mauritius,540,Clothing,Sofa,1,259.14,259.14,South
103,2025-06-13,1230,David Russell,nharris@yahoo.com,Mongolia,591,Sports,Shoes,7,845.78,5920.46,Central
104,2025-05-30,1595,Thomas Baker,fordannette@garza-smith.com,Montserrat,521,Sports,T-Shirt,9,234.71,2112.39,West
105,2025-02-23,1803,Renee Smith,brianalexander@rivas.com,Gambia,565,Electronics,Shoes,3,317.64,952.92,South
106,2025-01-20,1119,Carol Pittman,amyers@yahoo.com,Tonga,600,Electronics,Sofa,7,82.16,575.12,South
107,2024-05-08,1899,Stephanie Williamson,krodriguez@bell.com,Germany,592,Electronics,Tennis Racket,9,652.19,5869.71,West
108,2024-02-23,1375,Daniel Tran,hilljohn@morse-miller.com,Mauritania,526,Electronics,T-Shirt,8,365.38,2923.04,South
109,2023-11-07,1194,Amber Mcguire,ylara@yahoo.com,Anguilla,569,Electronics,Tennis Racket,2,377.96,755.92,North
110,2024-01-05,1710,Vincent Smith,icruz@gonzales.com,Ireland,530,Furniture,Bicycle,3,104.51,313.53,South
111,2025-03-10,1760,Renee Olsen,courtney69@reese.org,French Southern Territories,595,Electronics,Table,1,357.66,357.66,East
112,2023-10-02,1442,Michelle Craig,christianguerrero@hotmail.com,Nepal,553,Beauty,Table,9,84.37,759.33,North
113,2025-05-08,1832,Amber Middleton,lorigonzalez@chapman.info,Bahamas,575,Furniture,Bicycle,7,291.54,2040.78,South
114,2024-05-06,1890,Joshua Gutierrez DDS,hillerika@gmail.com,Ecuador,541,Electronics,Shoes,7,84.04,588.28,East
115,2024-04-12,1020,Gabriel Brown,uthomas@hotmail.com,Brazil,555,Beauty,Perfume,10,920.64,9206.4,East
116,2024-01-19,1234,Megan Anderson,suarezmatthew@yahoo.com,Seychelles,543,Sports,Perfume,6,640.44,3842.64,Central
117,2024-05-05,1725,Paul Adams,antoniolynn@rodriguez.info,Liechtenstein,537,Beauty,Tennis Racket,10,429.05,4290.5,Central
118,2025-06-17,1919,Karla Hernandez,bradleythomas@munoz.net,Pakistan,562,Furniture,Tennis Racket,6,550.74,3304.44,West
119,2024-09-18,1213,Brittany Robbins,caseymiller@brown.com,Jordan,533,Beauty,Sofa,5,389.66,1948.3,South
120,2025-04-09,1526,Jeffrey Foster,candacerodriguez@ellison.info,Palau,553,Furniture,Shoes,2,329.45,658.9,East
121,2024-06-22,1107,Timothy Mitchell,fthompson@smith-taylor.com,Saudi Arabia,553,Furniture,Bicycle,5,848.12,4240.6,West
122,2023-10-20,1319,Daniel Ponce,ann69@gmail.com,Montenegro,528,Clothing,Bicycle,7,935.78,6550.46,West
123,2023-10-23,1403,Caroline Levy,fcole@lowe.com,Svalbard & Jan Mayen Islands,521,Sports,Perfume,9,400.69,3606.21,North
124,2024-05-20,1107,Theodore Lopez MD,joseph35@jones.org,Ireland,598,Beauty,Perfume,5,85.17,425.85,South
125,2023-09-06,1072,Miss Carol Cook,johnharvey@sharp.org,South Georgia and the South Sandwich Islands,578,Clothing,Tennis Racket,1,893.61,893.61,South
126,2024-11-08,1741,Robin Moore,joelwilson@fry.info,Myanmar,576,Furniture,Shoes,8,466.65,3733.2,East
127,2024-07-31,1682,Donald Fernandez,eric25@yang.com,Tuvalu,545,Electronics,Tennis Racket,5,534.48,2672.4,South
128,2023-06-30,1883,Drew Robles,michael05@williams.com,Togo,543,Sports,Shoes,2,301.65,603.3,West
129,2024-06-04,1497,David Santos,vclark@webster.com,Sweden,576,Clothing,Table,10,171.56,1715.6,South
130,2025-06-12,1716,Francisco Johnson,brandymartin@juarez-fuller.biz,Croatia,594,Beauty,Sofa,8,367.02,2936.16,North
131,2024-12-19,1920,Andres Vasquez,hernandezdavid@yahoo.com,Montserrat,586,Clothing,Table,1,74.66,74.66,Central
132,2024-10-14,1395,Richard Alvarez,johngordon@hotmail.com,Falkland Islands (Malvinas),583,Clothing,Laptop,1,775.47,775.47,Central
133,2024-11-04,1519,Ruth Morgan,chad79@ferguson-smith.com,United States Virgin Islands,553,Electronics,T-Shirt,6,441.75,2650.5,North
134,2024-01-30,1081,Mark Erickson,hjones@rose.net,Belarus,567,Furniture,Table,5,477.53,2387.64999999999,East
135,2024-04-22,1637,Sean James,martindaniel@yahoo.com,Haiti,592,Sports,Tennis Racket,1,659.72,659.72,West
136,2024-11-19,1441,Travis Andrews,ljohnson@gmail.com,Peru,505,Beauty,Tennis Racket,4,53.7,214.8,South
137,2023-09-25,1304,Mary Gray,xjackson@hardin.com,Ghana,588,Electronics,Bicycle,6,640.79,3844.74,West
138,2024-07-06,1893,Kevin Perry,wendythompson@hotmail.com,Tunisia,507,Clothing,Shoes,3,56.87,170.609999999999,North
139,2024-10-12,1935,Beth Hernandez,aliciamarks@gmail.com,India,550,Electronics,Table,2,199.49,398.98,Central
140,2024-04-30,1941,Deanna Rios,hdaniel@gmail.com,Saudi Arabia,524,Clothing,Perfume,6,683.68,4102.08,Central
141,2023-08-21,1377,Scott Duncan,adam27@gmail.com,Trinidad and Tobago,521,Furniture,Tennis Racket,2,72.79,145.58,Central
142,2024-06-16,1334,Tyler Carlson,kimberly11@miller.com,Congo,522,Clothing,Perfume,2,433.03,866.06,North
143,2025-01-05,1312,Luis Greene,dixonnicholas@allen.com,Heard Island and McDonald Islands,530,Furniture,Sofa,6,318.97,1913.82,North
144,2024-05-20,1324,Clarence Arias,jamesjames@smith-riley.com,El Salvador,518,Sports,Sofa,10,993.13,9931.3,Central
145,2024-07-27,1062,Mrs. Stephanie Forbes,smithrebecca@gmail.com,Saint Vincent and the Grenadines,522,Beauty,Tennis Racket,1,894.95,894.95,South
146,2024-03-12,1270,Sergio Smith,adam95@ford.com,Gabon,587,Beauty,T-Shirt,4,633.41,2533.64,North
147,2023-11-13,1914,Rita Morgan,alyssagutierrez@martin-trujillo.com,Iran,564,Furniture,Bicycle,7,292.5,2047.5,South
148,2023-12-13,1378,Jacob Roberts,qzimmerman@gmail.com,Saint Lucia,512,Beauty,Perfume,7,762.99,5340.93,West
149,2024-08-27,1341,Kristina Myers,tammy00@yahoo.com,Christmas Island,545,Furniture,Table,5,419.16,2095.8,East
150,2024-10-24,1806,Jack Ross,vjohns@smith-clark.org,Benin,525,Beauty,Tennis Racket,8,87.36,698.88,North
151,2025-02-16,1399,Natasha Jones,jessicabenjamin@hoffman-gonzales.info,Dominica,538,Furniture,Sofa,10,837.85,8378.5,North
152,2025-01-24,1779,Karen Navarro,hscott@yahoo.com,Paraguay,571,Furniture,Bicycle,1,787.36,787.36,Central
153,2023-07-23,1522,Leah Harris,larsennathan@riley-gardner.com,Guadeloupe,594,Electronics,Shoes,1,200.11,200.11,North
154,2024-11-05,1858,Jennifer Smith,zscott@gmail.com,Yemen,518,Electronics,Table,4,993.87,3975.48,West
155,2025-05-27,1986,Jennifer Martinez,michele57@howard-cobb.com,Cambodia,508,Clothing,Bicycle,4,554.65,2218.6,West
156,2024-02-21,1994,Hunter Boone,bcampbell@gmail.com,Western Sahara,501,Beauty,Tennis Racket,4,881.16,3524.64,South
157,2024-11-23,1139,Kevin Bean,christopherrobinson@roberts-tucker.com,Suriname,585,Beauty,Tennis Racket,8,180.19,1441.52,East
158,2024-02-01,1665,Wayne Gutierrez,alarsen@schroeder.com,Timor-Leste,528,Sports,Table,2,533.33,1066.66,West
159,2023-08-28,1690,Kelly Guzman,utanner@mejia.org,Eritrea,577,Sports,Shoes,10,368.88,3688.8,South
160,2024-12-17,1736,James Johnson,vwilcox@hotmail.com,Italy,530,Sports,Shoes,10,439.23,4392.3,North
161,2023-11-23,1766,Vincent Patterson,donna49@schroeder.org,Marshall Islands,529,Electronics,Laptop,2,201.17,402.34,West
162,2024-09-13,1832,Jessica Mcconnell,mary69@hotmail.com,Sao Tome and Principe,552,Furniture,T-Shirt,9,843.17,7588.53,North
163,2024-05-02,1478,Dana Gomez,henryjames@hotmail.com,Wallis and Futuna,541,Sports,Sofa,7,206.9,1448.3,South
164,2025-03-18,1011,Lori Lopez,ddaniels@gmail.com,Western Sahara,584,Sports,Bicycle,10,772.03,7720.29999999999,North
165,2024-12-30,1197,Lynn Simpson,jenny91@farmer-anderson.net,Isle of Man,550,Clothing,Laptop,6,295.16,1770.96,North
166,2023-12-17,1704,Stephanie Knox,whitejoseph@patrick.com,Wallis and Futuna,597,Furniture,Table,7,57.49,402.43,South
167,2025-04-25,1781,Kevin Valdez,pthornton@gmail.com,Palestinian Territory,591,Beauty,Sofa,2,436.62,873.24,North
168,2023-08-12,1427,Paula White,heather59@gmail.com,Bolivia,585,Clothing,Tennis Racket,4,959.78,3839.12,East
169,2025-05-08,1389,Claire Black,jillshannon@rogers.com,Solomon Islands,587,Electronics,Sofa,7,949.6,6647.2,South
170,2025-04-12,1059,Eugene Williamson,zmcintosh@erickson.com,Wallis and Futuna,565,Clothing,Table,2,684.75,1369.5,East
171,2023-11-06,1989,Andre Lin,jacobsmith@skinner-chapman.com,Nepal,553,Clothing,Shoes,4,798.15,3192.6,Central
172,2024-07-28,1439,Michael Miller,john73@gonzalez-howell.com,Romania,534,Sports,Sofa,7,161.53,1130.71,East
173,2023-11-17,1386,Kayla Johnson,megan67@hotmail.com,United Kingdom,510,Furniture,Shoes,6,930.31,5581.86,West
174,2024-12-25,1864,David Ibarra,carol85@coleman-garcia.com,Kiribati,508,Beauty,Phone,6,978.86,5873.16,East
175,2024-02-09,1334,William Walker,fcurtis@hotmail.com,American Samoa,572,Furniture,Phone,5,617.71,3088.55,East
176,2023-09-05,1266,Tiffany Johnson,ecole@christian-webster.info,Kazakhstan,553,Furniture,T-Shirt,4,421.42,1685.68,East
177,2024-08-22,1615,Michele Peters,matthew16@yahoo.com,Croatia,502,Clothing,Perfume,5,852.2,4261.0,East
178,2025-03-14,1699,Brandon Davis,rwoods@hoffman.com,Greece,507,Electronics,Sofa,8,396.38,3171.04,Central
179,2025-05-05,1315,Stacy Wilkins,ybenson@crawford-moore.com,Lesotho,553,Beauty,Laptop,10,881.08,8810.8,East
180,2025-05-18,1050,Rebecca Ware,ricerachel@mccarthy.com,Swaziland,537,Electronics,T-Shirt,3,611.86,1835.58,North
181,2024-07-06,1610,Emily Miller,jacob32@hotmail.com,Seychelles,505,Clothing,Bicycle,3,436.29,1308.87,East
182,2024-04-27,1290,Cindy Sharp,troy99@gmail.com,Reunion,518,Clothing,Sofa,2,428.5,857.0,South
183,2025-02-13,1226,Sharon Hayes,hjackson@hotmail.com,Senegal,549,Clothing,Perfume,3,469.66,1408.98,South
184,2024-08-21,1984,Shelby Carpenter,thomaswest@hall.info,Hungary,568,Clothing,Phone,2,860.32,1720.64,East
185,2024-05-10,1403,Samuel Livingston,samantha68@hotmail.com,Guinea-Bissau,571,Beauty,Bicycle,4,765.78,3063.12,Central
186,2024-06-19,1958,Sonya Long,veronicamunoz@lopez.com,Morocco,573,Beauty,Table,2,655.16,1310.32,North
187,2025-02-04,1095,Wesley Mckenzie,jillian24@hotmail.com,United States Minor Outlying Islands,573,Furniture,Phone,3,983.32,2949.96,Central
188,2025-03-12,1530,Joshua Rios,aliciathomas@roberts.biz,Mali,585,Furniture,Table,3,346.3,1038.9,East
189,2024-10-30,1020,Stacey Harris,xrobinson@richards-hansen.com,Comoros,592,Clothing,Phone,6,954.45,5726.7,North
190,2023-09-29,1367,Cheryl Hill,tinarodriguez@hotmail.com,Central African Republic,587,Sports,Phone,5,166.4,832.0,North
191,2023-09-09,1872,Jacqueline Sanchez,kleonard@carr-grant.com,Swaziland,506,Electronics,Perfume,1,536.13,536.13,South
192,2025-01-04,1091,Jacqueline Daugherty,wkelly@norris-miller.com,Iraq,587,Furniture,Perfume,1,514.31,514.31,East
193,2023-12-09,1744,Thomas Ware,alexandermark@yahoo.com,Malawi,502,Electronics,Sofa,8,286.67,2293.36,North
194,2025-03-06,1435,Kevin Anderson,stevencarr@berry-garcia.org,Poland,574,Clothing,Perfume,2,534.13,1068.26,East
195,2023-11-02,1163,Jennifer Harrison,ericachapman@white-rosales.com,Lesotho,586,Beauty,Shoes,6,866.87,5201.22,East
196,2025-05-19,1113,Melissa Lee,jennifer85@gmail.com,Trinidad and Tobago,589,Sports,Laptop,6,508.58,3051.48,Central
197,2024-05-31,1166,Benjamin Blankenship,alexisscott@hotmail.com,Ecuador,500,Beauty,Tennis Racket,3,436.54,1309.62,North
198,2023-07-19,1761,Kathleen Pacheco,kathleen98@gmail.com,Palau,557,Sports,Tennis Racket,3,314.33,942.99,West
199,2024-11-08,1889,Amber Norris,tuckersteve@gmail.com,Brunei Darussalam,505,Furniture,Sofa,2,661.41,1322.82,Central
200,2023-12-18,1747,Rebecca Lucas,jdavis@wolfe.net,Seychelles,517,Electronics,Bicycle,8,671.06,5368.48,Central
201,2023-09-14,1482,Craig Wilson,millermichele@gmail.com,Latvia,534,Electronics,T-Shirt,4,87.39,349.56,North
202,2024-04-22,1296,Scott Barr,frank45@gmail.com,Nauru,534,Furniture,Table,9,477.1,4293.9,South
203,2023-09-19,1172,Gregory Baker,maria50@hotmail.com,Brazil,544,Electronics,Sofa,6,941.73,5650.38,South
204,2023-12-04,1741,Louis Hamilton MD,rodriguezamy@hotmail.com,Iceland,557,Furniture,Perfume,7,210.26,1471.82,West
205,2023-08-14,1944,Kyle Gray,jesus71@ortiz.com,Myanmar,500,Beauty,Perfume,7,891.68,6241.75999999999,West
206,2024-04-02,1964,Lisa Martinez,sallysmith@simpson-beasley.com,Czech Republic,559,Furniture,Laptop,9,43.35,390.15,South
207,2024-01-20,1131,Troy Anderson,oliveroscar@miller.com,Angola,528,Sports,Shoes,4,593.37,2373.48,East
208,2023-12-16,1935,Cindy Weber,christopher11@yahoo.com,Austria,540,Beauty,Phone,9,593.76,5343.84,Central
209,2023-10-28,1647,Karen Molina,scottnicole@rodriguez.com,Fiji,549,Electronics,Perfume,8,887.35,7098.8,North
210,2025-06-22,1392,Dustin Gordon,garyjones@yahoo.com,Comoros,538,Electronics,Table,10,220.91,2209.1,East
211,2024-03-09,1200,Heather Anderson,inunez@moore-jackson.com,Bahamas,504,Sports,Phone,5,96.77,483.849999999999,North
212,2023-07-04,1206,Carl Lopez,rodriguezheather@gmail.com,Saint Martin,588,Furniture,Perfume,3,245.67,737.01,South
213,2024-10-01,1773,Lauren Oconnell,nevans@willis-prince.com,Cape Verde,587,Electronics,Perfume,1,746.64,746.64,North
214,2024-02-20,1344,Michael Crawford,agood@dennis.net,Honduras,513,Electronics,Phone,5,416.12,2080.6,West
